id;name;party;coallition;parties
alckmin;Geraldo Alckmin;PSDB;Para Unir o Brasil;"PSDB, PP, PTB, PSD,
PRB, PR, DEM, SD, PPS"
amoedo;João Amoêdo;NOVO;;
bolsonaro;Jair Bolsonaro;PSL;Brasil Acima de Tudo, Deus Acima de Todos;PSL, PRTB
boulos;Guilherme Boulos;PSOL;Vamos Sem Medo de Mudar o Brasil;PSOL, PCB
daciolo;Cabo Daciolo;PATRIOTA;none;none
dias;Alvaro Dias;PODEMOS;Mudança de Verdade;PODEMOS, PRP, PSC, PTC
eymael;José Maria Eymael;DC;;
gomes;Ciro Gomes;PDT;Brasil Soberano;PDT, AVANTE
goulart;João Goulart Filho;PPL;;
haddad;Fernando Haddad;PT;O Povo Feliz de Novo;PT, PCdoB, PROS
marina;Marina Silva;REDE;Unidos para transformar o Brasil;REDE, PV
meirelles;Henrique Meirelles;MDB;Essa é a solução;MDB, PHS
vera;Vera Lúcia;PSTU;;
